[2022-05-04 23:07:55,637] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:07:55,675] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:07:55,675] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:07:55,675] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:07:55,676] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:07:55,676] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:07:55,676] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:07:55,677] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:07:55,677] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:07:55,677] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:07:55,688] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:07:55,688] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:07:55,688] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:07:55,689] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:07:55,689] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:07:55,689] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:07:55,690] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:09:26,045] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:09:26,045] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:09:26,085] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:09:26,085] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:09:26,085] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:09:26,086] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:09:26,086] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:09:26,086] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:09:26,087] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:09:26,087] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:09:26,087] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:09:26,102] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:09:26,102] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:09:26,102] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:09:26,103] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:09:26,103] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:09:26,103] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:09:26,104] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:09:26,104] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:09:26,104] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:09:26,115] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:09:26,116] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:09:26,116] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:09:26,116] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:09:26,117] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:09:26,117] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:09:26,117] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:13:10,560] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:13:10,560] - logger.py] - INFO: 用例标题：验证密码为空请求失败
[2022-05-04 23:13:10,594] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:13:10,595] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:13:10,595] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:13:10,595] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:13:10,596] - logger.py] - INFO: 验证密码为空请求失败成功
[2022-05-04 23:13:10,596] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:13:10,596] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:13:10,597] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:13:10,597] - logger.py] - INFO: 用例标题：验证密码错误请求失败
[2022-05-04 23:13:10,612] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:13:10,612] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:13:10,613] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:13:10,613] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:13:10,613] - logger.py] - INFO: 验证密码错误请求失败成功
[2022-05-04 23:13:10,614] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:13:10,614] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:13:10,614] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:13:10,615] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:13:10,632] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:13:10,632] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:13:10,633] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:13:10,633] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:13:10,633] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:13:10,634] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:13:10,634] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:13:10,634] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:13:10,635] - logger.py] - INFO: 用例标题：验证用户名为空请求失败
[2022-05-04 23:13:10,644] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:13:10,645] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:13:10,645] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:13:10,645] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:13:10,646] - logger.py] - INFO: 验证用户名为空请求失败成功
[2022-05-04 23:13:10,646] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:13:10,646] - logger.py] - INFO: -------------------------------------------
[2022-05-04 23:13:10,646] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:13:10,647] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:13:10,658] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:13:10,658] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:13:10,659] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:13:10,659] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:13:10,659] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:13:10,660] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:13:10,660] - logger.py] - INFO: -------------------------------------------
